epoch,num_episodes,total_reward,reward_per_epoch,mean_q
1,108,39940,369.814814815,4.33597715369
2,98,71700,731.632653061,4.60166754917
3,56,140460,2508.21428571,5.6569035006
4,52,176320,3390.76923077,6.49786256988
5,48,172000,3583.33333333,6.67126430111
6,47,197780,4208.08510638,7.2245209828
7,56,226920,4052.14285714,7.40193967467
8,45,239780,5328.44444444,7.72806660576
10,55,256340,4660.72727273,7.72806660576
11,55,264340,4806.18181818,7.72806660576
12,49,276280,5638.36734694,7.72806660576
13,54,279400,5174.07407407,7.72806660576
